task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.5,0.05,0,500,C1,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,C1,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,C1,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,C1,640,4,0,True,True,1.661179601689773,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,640,8,4,True,True,1.6894055777648849,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,640,16,12,True,True,2.1524052808209264,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,768,4,0,True,True,1.7096418520365775,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,768,8,4,True,True,1.75212040325133,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,C1,768,16,12,True,True,1.5442459211770212,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,S,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,S,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,S,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.5,0.05,0,500,S,640,4,0,True,True,1.678906421238487,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,S,640,8,4,True,True,1.6322572084436067,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.05,0,500,S,640,16,12,True,True,1.937282607504567,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
